Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Ejecucion
5,8.4,22.4,0.15464500000000214,187.1171875,4.932878580049347,0.0,0.0,1
5,18076.2,2628292.2,4.730124999999994,251.68359375,6.635011059896446,0.0,0.0,1
5,0.0,0.0,24.894690000000004,351.59765625,9.268996453418682,0.0,0.0,1
5,0.0,14.0,28.951354999999996,373.796875,9.85422356231644,0.0,0.0,1
5,0.0,0.0,27.044010000000007,397.99609375,10.492175689647361,0.0,0.0,1
5,0.0,0.0,24.654325000000004,407.74609375,10.749210154509019,0.0,0.0,1
5,0.0,0.0,18.85300000000001,434.984375,11.467279595005952,0.0,0.0,1
5,0.0,0.0,33.541545,457.8671875,12.070527950438482,0.0,0.0,1
5,0.0,0.0,24.09240999999998,468.0703125,12.339507927288905,0.0,0.0,1
5,0.0,14.0,50.364484999999995,585.0390625,15.423097677215788,0.0,0.0,1
5,0.0,0.0,42.64999500000002,712.04296875,18.771239326273122,0.0,0.0,1
6,0.0,0.0,48.30901666666669,729.9375,19.242984071277636,0.0,0.0,1
5,0.0,0.0,55.39611999999998,742.7265625,19.580135849305307,0.0,0.0,1
5,0.0,0.0,62.28678999999999,703.87890625,18.556014153372136,0.0,0.0,1
5,0.0,0.0,57.49343500000001,727.91796875,19.189744160086335,0.0,0.0,1
5,0.0,0.0,57.592174999999976,724.1796875,19.091193686179043,0.0,0.0,1
5,0.0,0.0,67.24764499999999,733.78125,19.344314966078866,0.0,0.0,1
5,0.0,0.0,60.583309999999955,722.55859375,19.04845758725373,0.0,0.0,1
5,0.0,0.0,58.667875000000016,744.4765625,19.626270240434323,0.0,0.0,1
5,0.0,0.0,60.39021000000005,751.78515625,19.818943110528938,0.0,0.0,1
5,0.0,0.0,61.863670000000035,755.74609375,19.923363361878987,0.0,0.0,1
5,0.0,0.0,50.517869999999895,726.0078125,19.139387648340602,0.0,0.0,1
5,0.0,14.0,60.9230500000001,738.68359375,19.473553048371084,0.0,0.0,1
5,0.0,0.0,58.35645999999996,753.265625,19.857971981595675,0.0,0.0,1
6,0.0,0.0,57.34863749999993,754.265625,19.884334490812254,0.0,0.0,1
5,0.0,0.0,59.636050000000004,742.38671875,19.571176715313733,0.0,0.0,1
5,0.0,0.0,43.297304999999966,739.15234375,19.485910474566356,0.0,0.0,1
5,0.0,0.0,65.74872500000012,735.30859375,19.384579579765127,0.0,0.0,1
5,0.0,0.0,56.42665999999992,753.0390625,19.85199922560129,0.0,0.0,1
5,0.0,0.0,58.98098000000005,745.80078125,19.661179969435967,0.0,0.0,1
5,0.0,0.0,66.85667999999993,746.4375,19.67796547335121,0.0,0.0,1
5,0.0,0.0,56.535145,758.4453125,19.994521541053427,0.0,0.0,1
5,0.0,0.0,71.67275500000017,759.171875,20.013675551656103,0.0,0.0,1
